,Date,price_bitcoin,open_bitcoin,high_bitcoin,low_bitcoin,vol_bitcoin,Change_bitcoin_%,price_dowjones,open_dowjones,high_dowjones,low_dowjones,vol_dowjones,change_dowjones,price_nasdaq,open_nasdaq,high_nasdaq,low_nasdaq,vol_nasdaq,change_nasdaq,price_sp,open_sp,high_sp,low_sp,change_sp,trend_bitcoins
2906,2013-04-30,139.2,144.0,146.9,134.0,65.23,3.31,14839.8,14818.75,14839.8,14734.47,148.25,0.14,3328.79,3308.05,3328.79,3298.58,522.65,0.66,1597.57,1593.58,1597.57,1586.5,0.25,21.0
2907,2013-04-29,144.0,134.4,149.1,133.0,70.21,7.11,14818.75,14712.55,14844.96,14712.55,97.06,0.72,3307.02,3290.31,3315.34,3289.42,369.13,0.85,1593.61,1582.34,1596.65,1582.34,0.72,14.0
2908,2013-04-28,134.4,128.0,136.7,127.5,27.52,5.03,14712.55,14700.8,14743.49,14684.82,128.91,0.08,3279.26,3284.07,3287.48,3268.03,429.9,0.33,1582.24,1585.16,1585.78,1577.56,0.18,19.0
2909,2013-04-27,128.0,136.9,139.9,122.7,59.88,6.5,14712.55,14700.8,14743.49,14684.82,128.91,0.08,3279.26,3284.07,3287.48,3268.03,429.9,0.33,1582.24,1585.16,1585.78,1577.56,0.18,20.0
2910,2013-04-26,136.9,141.7,145.0,121.4,129.01,3.39,14712.55,14700.8,14743.49,14684.82,128.91,0.08,3279.26,3284.07,3287.48,3268.03,429.9,0.33,1582.24,1585.16,1585.78,1577.56,0.18,20.0
2911,2013-04-25,141.7,154.2,162.0,120.1,187.65,8.1,14700.8,14676.3,14768.05,14665.45,129.6,0.17,3289.99,3279.82,3301.28,3279.29,458.9,0.62,1585.16,1578.93,1592.64,1578.93,0.4,16.0
2912,2013-04-24,154.2,143.5,166.4,141.0,225.9,7.47,14676.3,14719.46,14747.42,14666.54,138.02,0.29,3269.65,3262.21,3277.12,3255.44,425.31,0.01,1578.79,1578.78,1583.0,1575.8,0.0,22.0
2913,2013-04-23,143.5,127.4,144.0,125.0,116.15,12.62,14719.46,14567.17,14721.42,14554.29,137.32,1.05,3269.33,3252.8,3275.89,3241.52,418.17,1.11,1578.78,1562.5,1579.58,1562.5,1.04,28.0
2914,2013-04-22,127.4,119.2,127.4,118.5,59.15,6.88,14567.17,14547.51,14588.83,14457.6,146.89,0.14,3233.55,3217.4,3241.16,3198.74,426.94,0.86,1562.5,1555.25,1565.55,1548.19,0.47,20.0
2915,2013-04-21,119.2,126.6,130.5,110.0,99.13,5.86,14547.51,14537.14,14553.73,14444.03,207.2,0.07,3206.06,3169.32,3210.03,3168.33,494.38,1.25,1555.25,1541.61,1555.89,1539.4,0.88,14.0
